Priceperweek,Population,Monthlyincome,Averageparkingpermonth,Numberofweeklyriders
15,1800000,5800,50,192000
15,1790000,6200,50,190400
15,1780000,6400,60,191200
25,1778000,6500,60,177600
25,1750000,6550,60,176800
25,1740000,6580,70,178400
25,1725000,8200,75,180800
30,1725000,8600,75,175200
30,1720000,8800,75,174400
30,1705000,9200,80,173920
30,1710000,9630,80,172800
40,1700000,10570,80,163200
40,1695000,11330,85,161600
40,1695000,11600,100,161600
40,1690000,11800,105,160800
40,1630000,11830,105,159200
65,1640000,12650,105,148800
102,1635000,13000,110,115696
75,1630000,13224,125,147200
75,1620000,13766,130,150400
75,1615000,14010,150,152000
80,1605000,14468,155,136000
86,1590000,15000,165,126240
98,1595000,15200,175,123888
87,1590000,15600,175,126080
77,1600000,16000,190,151680
63,1610000,16200,200,152800
45,1755148,6385,111,142230
63,1749577,8435,143,124844
49,1751097,5858,132,144066
23,1788500,5800,50,171578
28,1775106,5800,54,168485
73,1718750,11322,149,119143
56,1738651,9347,126,144331
51,1746737,8500,70,134021
102,1696362,15648,195,115696
57,1750058,7907,121,138284
43,1749286,8057,93,148531
40,1760519,6407,52,159197
42,1755154,6826,80,143460
75,1728526,14032,135,115696
22,1780816,5800,50,168728
50,1746385,8014,145,147742
40,1767430,6655,68,142549
34,1772424,5800,100,161618
35,1777126,5800,51,148232
57,1742111,7705,106,138357
22,1783596,5800,69,175864
44,1758869,5800,98,146151
30,1768437,5800,78,153697
46,1750320,5800,65,143832
68,1728816,9726,168,128177
45,1751361,6445,110,143585
52,1749861,6668,85,130103
50,1753524,8549,129,139921
73,1727546,10886,125,115696
72,1716428,11144,119,115696
67,1732067,9859,100,123651
73,1721946,8769,137,117515
51,1742509,8376,93,136120
81,1719283,11680,165,121478
33,1770395,6353,79,156194
56,1742330,9086,69,135999
72,1729769,11061,153,115696
37,1754821,5800,53,158246
43,1757162,7205,89,150994
74,1717309,11495,143,118333
54,1740592,8645,139,137208
59,1737143,7693,155,137209
69,1727451,9044,155,131122
20,1777906,5800,50,173785
44,1756881,5800,138,143641
66,1731788,9718,134,120704
74,1717581,9936,151,115696
57,1744827,9319,102,136551
62,1738572,8928,131,125910
35,1764075,5800,86,157473
59,1730535,7889,123,130954
76,1717511,12731,122,117102
54,1739334,9686,98,139170
27,1776889,5800,50,157455
20,1785772,5800,56,167603
36,1763301,6595,50,147136
33,1771470,5800,78,158473
73,1727256,11593,123,115696
74,1722304,11605,155,115696
47,1750697,5800,99,142958
80,1719797,12829,161,115696
70,1737759,10105,139,121513
70,1729289,10439,140,120938
36,1763227,6057,74,160469
59,1736323,10367,106,131535
44,1750369,5800,91,143371
34,1769685,5974,50,158012
61,1739526,9292,138,129656
32,1773786,5800,65,163388
70,1725330,11338,168,118815
44,1762960,6480,66,146903
60,1741877,8185,113,120554
15,1798164,5800,50,175080
54,1742564,9062,107,148884
49,1751614,9075,116,142994
32,1779766,5800,50,153374
60,1738491,8891,143,131391
70,1732495,10694,149,128321
44,1759647,6079,109,154897
44,1753940,5800,93,141315
42,1756273,5800,53,144964
27,1777157,5800,59,168177
57,1746174,7842,115,142336
26,1777699,5800,50,168659
64,1743617,10415,97,127775
38,1755420,5800,58,152649
38,1770363,6648,106,149539
82,1717013,12747,177,115696
35,1764170,5800,96,164515
53,1749665,7352,103,137363
86,1715037,12330,135,115696
48,1751896,7215,58,145038
67,1739512,9543,134,119101
65,1727638,9090,111,125752
65,1730344,10894,148,124866
48,1749816,8173,134,141008
49,1744613,7074,100,144406
78,1720503,12805,136,120123
50,1747618,6023,110,138790
76,1729430,11829,139,120927
37,1759275,6489,87,159086
35,1756185,5800,57,156264
99,1711267,14872,185,115696
80,1712182,15221,151,115696
15,1774506,5800,50,172002
59,1741905,7709,87,139759
64,1742347,11969,154,129882
43,1757887,7634,98,133906
26,1774943,5800,50,163688
40,1756926,7232,50,158821
15,1779536,5800,50,171789
52,1754670,7458,97,138312
59,1746531,8328,142,136013
38,1762194,6209,109,151007
43,1750948,7017,100,152884
51,1744910,8700,96,148671
59,1739669,8423,108,138542
52,1735143,8584,86,143836
77,1724311,12645,167,120163
66,1735422,11506,163,127684
63,1739923,11686,143,129947
90,1713579,12490,153,115696
42,1759264,5800,66,151483
55,1739291,7524,97,135565
34,1757191,5800,50,158460
30,1769686,5800,50,164223
57,1740876,7219,134,130758
23,1775422,5800,50,170402
76,1726603,12673,155,118441
67,1725891,9834,135,124212
23,1774812,5800,50,170524
55,1741186,8043,121,128086
15,1786141,5800,54,170239
57,1739442,7497,105,135655
24,1779864,5800,63,173933
17,1784284,5800,50,181103
48,1746627,6478,77,143087
44,1757782,8290,73,137564
37,1761214,6252,90,152267
89,1706568,13714,183,115696
46,1753398,8085,94,146942
60,1742450,10807,133,127146
57,1751223,8982,105,128638
74,1724442,10687,176,121660
48,1748359,7207,96,147873
40,1764041,5800,89,158772
62,1736512,10427,103,128291
28,1766393,5800,72,167862
26,1776449,5800,69,158803
61,1733782,10208,116,137216
65,1740848,11848,149,129126
64,1735725,9130,126,128568
26,1770639,5800,57,166295
57,1748428,10615,103,130654
56,1751115,9093,111,137988
63,1738717,9274,135,127716
15,1786189,5800,50,174948
43,1757720,7819,50,151886
48,1749779,7987,85,146175
38,1756960,5800,86,165270
72,1726186,12101,156,123436
46,1764625,7353,126,140185
40,1758969,5800,109,156716
60,1735115,7932,150,131583
34,1766925,5800,50,160205
60,1733610,10407,133,132418
39,1757481,6674,74,148417
59,1739568,9480,95,140260
42,1761106,5800,114,152897
49,1753871,8657,115,140687
44,1755112,7436,108,146640
86,1710744,14015,171,115696
34,1772076,5800,55,154987
32,1772042,5800,50,160358
98,1694087,16200,188,115696
76,1723625,12137,140,115696
58,1746401,8888,123,133513
57,1744066,7236,92,134344
46,1747843,7071,89,144834
56,1750473,8513,94,136770
62,1735193,8971,126,128571
15,1785804,5800,50,177892
28,1778348,5800,50,156286
21,1772845,5800,50,179839
46,1754815,6928,76,153298
52,1753840,7510,85,143340
39,1761288,7075,66,146394
43,1750229,6696,105,146530
63,1729319,10082,120,132309
15,1782254,5800,50,170728
30,1772217,5800,66,154021
55,1745978,8874,107,125058
35,1763133,5800,57,162930
46,1750376,6921,106,134299
44,1750529,5800,80,155207
48,1751105,6481,112,152461
37,1766889,5800,65,158909
48,1764833,9071,95,153018
61,1741564,9042,144,133233
69,1726164,9156,147,123226
51,1748710,8630,113,144098
53,1750946,7257,113,129025
81,1717667,12087,171,115696
30,1767032,5800,94,171002
69,1733509,8279,181,134176
42,1758411,5928,77,139114
49,1752872,8985,78,142222
68,1729543,9834,104,132605
46,1757440,9208,53,147515
49,1739981,7870,88,144069
75,1721900,11577,134,115696
75,1722224,10898,132,115696
48,1750555,5806,106,147280
66,1736341,10414,117,124215
40,1754192,6427,101,151896
36,1767571,5800,70,156878
51,1754850,5800,111,143810
44,1757490,7723,105,142038
67,1737737,9935,169,117385
47,1751701,7315,122,139568
31,1767787,5800,55,160213
29,1763520,5800,63,170540
60,1733240,8663,108,130421
52,1748737,8214,86,139320
40,1766357,5989,96,154171
92,1708369,14214,191,115696
52,1746892,9852,131,134919
33,1768155,5800,67,158275
22,1769824,5800,64,170712
44,1760156,6455,101,155893
55,1746331,7173,104,127057
49,1753146,5800,130,138881
69,1725894,8480,141,119188
15,1775275,5800,50,177241
69,1723742,9525,170,124410
69,1733201,10705,112,125815
15,1782000,5800,59,178788
66,1734381,9534,160,119967
36,1764405,5800,86,155971
39,1773059,6387,71,147207
77,1720137,11901,170,115696
29,1776406,5800,90,158285
63,1741413,9694,168,129832
47,1763486,7689,109,146154
38,1762636,5800,84,153625
61,1733175,9880,151,125639
62,1736757,7795,79,138316
56,1745791,7318,141,142720
63,1740612,7320,150,116249
51,1750117,8698,90,151399
50,1748915,7616,90,140714
58,1741773,10824,95,135737
15,1780593,5800,53,176636
57,1736255,8602,103,140808
56,1733368,8137,87,138938
52,1745190,8064,102,140375
43,1759382,7437,64,145286
49,1749295,8063,133,146685
60,1728479,8203,123,143296
66,1732185,10231,141,119443
29,1766904,5800,63,168329
95,1708712,14829,151,115696
74,1727011,12095,161,120478
